,ds,y
0,2012-01,264474.0
1,2012-02,264035.0
2,2012-03,263470.0
3,2012-04,262630.0
4,2012-05,261823.0
5,2012-06,260425.0
6,2012-07,258959.0
7,2012-08,257163.0
8,2012-09,255680.0
9,2012-10,254426.0
10,2012-11,253440.0
11,2012-12,251459.0
12,2013-01,250134.0
13,2013-02,249292.0
14,2013-03,248895.0
15,2013-04,248952.0
16,2013-05,249460.0
17,2013-06,249330.0
18,2013-07,248705.0
19,2013-08,248058.0
20,2013-09,248189.0
21,2013-10,249144.0
22,2013-11,249657.0
23,2013-12,250066.0
24,2014-01,252332.0
25,2014-02,253063.0
26,2014-03,253977.0
27,2014-04,254180.0
28,2014-05,254179.0
29,2014-06,254207.0
30,2014-07,254273.0
31,2014-08,254646.0
32,2014-09,255658.0
33,2014-10,256639.0
34,2014-11,257252.0
35,2014-12,257685.0
36,2015-01,256960.0
37,2015-02,257770.0
38,2015-03,258966.0
39,2015-04,260724.0
40,2015-05,262134.0
41,2015-06,263642.0
42,2015-07,274990.0
43,2015-08,276080.0
44,2015-09,277359.0
45,2015-10,278709.0
46,2015-11,279746.0
47,2015-12,280443.0
48,2016-01,280494.0
49,2016-02,280335.0
50,2016-03,280234.0
51,2016-04,280278.0
52,2016-05,280468.0
53,2016-06,280692.0
54,2016-07,281061.0
55,2016-08,281537.0
56,2016-09,281340.0
57,2016-10,282377.0
58,2016-11,283165.0
59,2016-12,283287.0
60,2017-01,283255.0
61,2017-02,283334.0
62,2017-03,283908.0
63,2017-04,284256.0
64,2017-05,284784.0
65,2017-06,286026.0
66,2017-07,286673.0
67,2017-08,287768.0
68,2017-09,287993.0
69,2017-10,288461.0
70,2017-11,289072.0
71,2017-12,313552.0
72,2018-01,315961.0
73,2018-02,318503.0
74,2018-03,319757.0
75,2018-04,320248.0
76,2018-05,320271.0
77,2018-06,320157.0
78,2018-07,320135.0
79,2018-08,320944.0
80,2018-09,323915.0
81,2018-10,325205.0
82,2018-11,325441.0
83,2018-12,325014.0
84,2019-01,349426.0
85,2019-02,348312.0
86,2019-03,347165.0
87,2019-04,345809.0
88,2019-05,344891.0
89,2019-06,344322.0
90,2019-07,344195.0
91,2019-08,344332.0
92,2019-09,344798.0
93,2019-10,346156.0
94,2019-11,348031.0
95,2019-12,351787.0
96,2020-01,366793.0
97,2020-02,368783.0
98,2020-03,372016.0
99,2020-04,373252.0
100,2020-05,373608.0
101,2020-06,375821.0
102,2020-07,380260.0
103,2020-08,383529.0
104,2020-09,386235.0
105,2020-10,387973.0
106,2020-11,391180.0
107,2020-12,396418.0
108,2021-01,401083.0
109,2021-02,406808.0
110,2021-03,410921.0
111,2021-04,414983.0
112,2021-05,419019.0
113,2021-06,426064.0
114,2021-07,491728.0
115,2021-08,498221.0
116,2021-09,504121.0
117,2021-10,509748.0
118,2021-11,513344.0
119,2021-12,514584.0
120,2022-01,514577.0
121,2022-02,514114.0
122,2022-03,513420.0
123,2022-04,513028.0
124,2022-05,512185.0
125,2022-06,511359.0
126,2022-07,509978.0
127,2022-08,506802.0
128,2022-09,502163.0
129,2022-10,495107.0
130,2022-11,483839.0
131,2022-12,468130.0
132,2023-01,455926.0
133,2023-02,448199.0
134,2023-03,443526.0
135,2023-04,441069.0
136,2023-05,440861.0
137,2023-06,441629.0
138,2023-07,443028.0
139,2023-08,445161.0
140,2023-09,447695.0
141,2023-10,449561.0
142,2023-11,450090.0
143,2023-12,449530.0
144,2024-01,452117.0
145,2024-02,451135.0
146,2024-03,450506.0
147,2024-04,450577.0
148,2024-05,450932.0
149,2024-06,452330.0
